[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,134 | NVDEC decodes VP9, chroma 4:2:0, bitdepth 10, upto 8192 x 8192
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,148 | FusionLibs: = "C:\Program Files\Blackmagic Design\DaVinci Resolve\"
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,148 | UserData:   = "C:\Users\videopro\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Support\Fusion"
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,148 | Profiles:   = "UserData:Profiles\"
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,148 | Nvidia GPU (0) is initialised as decoding and encoding device.
[0x00001238] | IO                   | INFO  | 2023-05-17 09:46:09,182 | IO codec library load completed in 536 ms.
[0x00005cbc] | SyManager            | ERROR | 2023-05-17 09:46:09,202 | BlackmagicIDHelper::GetProjectLibraries() - Access token is empty
[0x00004f94] | DbCommon2            | INFO  | 2023-05-17 09:46:09,268 | Loading dblist file: C:\Users\videopro\AppData\Roaming\Blackmagic Design\DaVinci Resolve\Preferences\dblist.conf
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:09,314 | Finished loading Application style sheet
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:09,396 | Show splash screen
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:09,396 | Show splash screen message: Starting Up
[0x00004fe8] | Fusion               | INFO  | 2023-05-17 09:46:09,398 | Module Handle 0000023A5FC80000 fusionsystem
[0x0000204c] | Fusion               | INFO  | 2023-05-17 09:46:09,410 | Module Handle 0000023A6C160000 C:\Program Files\Blackmagic Design\DaVinci Resolve\fusiongraphics.dll
[0x00004f28] | Fusion               | INFO  | 2023-05-17 09:46:09,437 | Module Handle 0000023A6FB90000 fusionoperators.dll
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,462 | Module Handle 0000023A70490000 fusioncontrols.dll
[0x00007b34] | Fusion               | INFO  | 2023-05-17 09:46:09,488 | Module Handle 0000023A70870000 3d.plugin
[0x0000772c] | Fusion               | INFO  | 2023-05-17 09:46:09,510 | Module Handle 0000023A70B50000 dimension.plugin
[0x00003934] | Fusion               | INFO  | 2023-05-17 09:46:09,528 | Module Handle 0000023A70F70000 alembic.plugin
[0x0000204c] | Fusion               | INFO  | 2023-05-17 09:46:09,551 | Module Handle 0000023A71320000 fbx.plugin
